Option,QuestionId,Option Image,IsCorrect
'Glare from the sun',201,null,
'Lack of road markings',201,null,
'Children running out between vehicles',201,null,1
'Large goods vehicles',201,null,
'The cyclist may move to the left and dismount',202,null,
'The cyclist may swerve into the road',202,null,1
'The cyclist may get off and push their bicycle',202,null,
'The cyclist may wish to turn right at the end of the road',202,null,
'Stop and take a break',203,null,1
'Shout abusive language',203,null,
'Gesture to them with your hand',203,null,
"'Follow them, flashing your headlights'",203,null,
'At a reduced speed',204,null,1
'At the speed limit',204,null,
'In the centre of the road',204,null,
'With headlights on dipped beam',204,null,
'Because of the level crossing',205,null,1
'Because it's hard to see to the right',205,null,
'Because of approaching traffic',205,null,
'Because of animals crossing',205,null,
'To restrict the flow of traffic',206,null,
'To warn of oncoming traffic',206,null,
'To help you select the correct lane in good time',206,null,1
'To prevent you from changing lanes',206,null,
'Traffic in both directions can use the middle lane to overtake',207,null,1
'Traffic can travel faster in poor weather conditions',207,null,
'Traffic can overtake on the left',207,null,
'Traffic uses the middle lane for emergencies only',207,null,
'An ambulance',208,null,
'A fire engine',208,null,
'A doctor on call',208,null,
'A tractor',208,null,1
'Go ahead',209,null,
'Stop',209,null,1
'Turn left',209,null,
'Turn right',209,null,
'There's a zebra crossing ahead',210,null,
'There are driveways on the left',210,null,
'People may cross the road in front of it ',210,null,1
'The road surface will be slippery',210,null,
'On a single carriageway',211,null,
'On a one-way street',211,null,
'Approaching a junction',211,null,1
'Travelling up a long hill',211,null,
'Your ability to judge speed will be reduced',212,null,1
'Your confidence will be reduced',212,null,
'Your reactions will be faster',212,null,
'Your awareness of danger will be improved',212,null,
'Traffic lights ahead',213,null,
'Edge of the carriageway',213,null,1
'Footpath on the left',213,null,
'Cycle path',213,null,
'Both half-barriers down',214,null,
'A steady amber light',214,null,1
'One half-barrier down',214,null,
'Twin flashing red lights',214,null,
'Try to move off before the cyclist',215,null,
'Allow the cyclist time and room',215,null,1
'Turn right but give the cyclist room',215,null,
'Tap your horn and drive through first',215,null,
'Check your right mirror',216,null,
'Move up closer to the car ahead',216,null,
'Move out to the right',216,null,
'Check for bicycles on your left',216,null,1
'A staggered junction is ahead',217,null,1
'A low bridge is ahead',217,null,
'The road surface changes ahead',217,null,
'The road narrows ahead',217,null,
'Traffic will move into the right-hand lane',218,null,
'Traffic speed will increase',218,null,
'Traffic will move into the left-hand lane',218,null,1
'Traffic won't need to change position',218,null,
'The two right lanes are open',219,null,
'The two left lanes are open',219,null,1
'Traffic in the left lanes should stop',219,null,
'Traffic in the right lanes should stop',219,null,
'Avoid mixing your alcoholic drinks',220,null,
'Don't drink any alcohol at all',220,null,1
'Have some milk before drinking alcohol',220,null,
'Eat a hot meal with your alcoholic drinks',220,null,
'Road fund licence',221,null,
'Insurance premiums',221,null,1
'Vehicle test certificate',221,null,
'Driving licence',221,null,
'Have a strong cup of coffee and then drive home',222,null,
'Drive home carefully and slowly',222,null,
'Go home by public transport',222,null,1
'Wait a short while and then drive home',222,null,
'Only drive if your journey is necessary',223,null,
'Drive on quiet roads',223,null,
'Ask someone to come with you',223,null,
'Avoid driving and check with your doctor',223,null,1
'Only drive if someone is with you',224,null,
'Avoid driving on motorways',224,null,
'Get someone else to drive',224,null,1
'Never drive at more than 30 mph',224,null,
'See your doctor each time before you drive',225,null,
'Take smaller doses of any medicines',225,null,
'Stop driving until you're fit to drive again',225,null,1
'Take all your medicines with you when you drive',225,null,
'Stop and rest as soon as possible',226,null,1
'Turn the heater up to keep you warm and comfortable',226,null,
'Close the car windows to help you concentrate',226,null,
'Continue with your journey but drive more slowly',226,null,
'Pull up on the hard shoulder and change drivers',227,null,
'Leave the motorway at the next exit and rest',227,null,1
'Increase your speed and turn up the radio volume',227,null,
'Close all your windows and set the heating to warm',227,null,
'Wait until you're fit and well before driving',228,null,1
"'Drive home, but take a tablet for headaches'",228,null,
'Drive home if you can stay awake for the journey',228,null,
"'Wait for a short time, then drive home slowly'",228,null,
'Eat a large meal before driving',229,null,
'Take regular refreshment breaks',229,null,1
'Play loud music in the car',229,null,
'Complete the journey without stopping',229,null,
'Ask your friend if taking the medicine affected their driving',230,null,
'Drink some strong coffee one hour before driving',230,null,
'Check the label to see if the medicine will affect your driving',230,null,1
'Drive a short distance to see if the medicine is affecting your driving',230,null,
'Reverse out of the road',231,null,
'Turn around in a side road',231,null,
'Continue and find another route',231,null,1
'Reverse into a driveway',231,null,
'Looking at road maps',232,null,1
'Switching on your demister',232,null,
'Using your windscreen washers',232,null,
'Looking in your door mirror',232,null,
'Move to the opposite side of the road',233,null,
'Drive through as you have priority',233,null,
'Sound your horn and be prepared to stop',233,null,1
'Speed up and drive through quickly',233,null,
'Open a window',234,null,
'Turn on your radio',234,null,
'Have an alcoholic drink',234,null,
'Calm down',234,null,1
'There's a broken white line in the centre',235,null,
'There are solid white lines on either side',235,null,
'There are roadworks ahead of you',235,null,1
'There are no footpaths',235,null,
'Sound the horn',236,null,
'Brake firmly',236,null,
'Keep a safe gap',236,null,1
'Flash your lights',236,null,
"'Drive home slowly, keeping to quiet roads'",237,null,
'Borrow a friend's glasses and use those',237,null,
"'Drive home at night, so that the lights will help you'",237,null,
'Find a way of getting home without driving',237,null,1
'It improves judgement skills',238,null,
'It increases confidence',238,null,1
'It leads to faster reactions',238,null,
'It increases concentration',238,null,
'Drug companies want customer feedback on their products',239,null,
'You may have to let your insurance company know about the medicine',239,null,
'Some types of medicine can affect your ability to drive safely',239,null,1
'The medicine you take may affect your hearing',239,null,
'Only in bad weather conditions',240,null,
'Whenever you're driving',240,null,1
'When you think it's necessary',240,null,
'Only at night time',240,null,
'Half-moon ',241,null,
'Round ',241,null,
'Bifocal ',241,null,
'Tinted ',241,null,1
'Drugs',242,null,1
'Busy roads',242,null,
'Tinted windows',242,null,
'Weather conditions',242,null,
'Tell the driver licensing authority',243,null,1
'Tell your doctor',243,null,
'Tell the police',243,null,
'Tell your optician',243,null,
'When you're double-parked on a two-way A road',244,null,
'When your direction indicators aren't working',244,null,
'When warning oncoming traffic that you intend to stop',244,null,
'When your vehicle has broken down and is causing an obstruction',244,null,1
'Stay well back and wait to see if anything comes',245,null,
'Build up your speed so that you can emerge quickly',245,null,
'Stop and apply the parking brake even if the road is clear',245,null,
'Approach slowly and edge out until you can see more clearly',245,null,1
'To engage cruise control',246,null,
'To accelerate quickly',246,null,1
'To brake progressively',246,null,
'To improve fuel economy',246,null,
'Allow a two-second separation gap',247,null,
'Switch your headlights onto main beam',247,null,
'Move into a lane that has less spray',247,null,
'Be aware of spray reducing your vision',247,null,1
'A vehicle overtaking you',248,null,
'Mud on the road',248,null,
'The road getting narrower',248,null,
'Pedestrians walking towards you',248,null,1
"'Slow down, keeping a safe separation distance'",249,null,1
'Accelerate past the vehicles in the left-hand lane',249,null,
'Pull up on the left-hand verge',249,null,
'Move across and continue in the right-hand lane',249,null,
'When driving on a motorway to warn traffic behind of a hazard ahead',250,null,1
'When you're double-parked on a two-way',250,null,
'When your direction indicators aren't working',250,null,
'When warning oncoming traffic that you intend to stop',250,null,
'Looking for traffic behind you',251,null,
'Reflections of traffic in windows',251,null,1
'Making eye contact with other road users',251,null,
'Checking for traffic in your interior mirror',251,null,
'Inform your local police',252,null,
'Avoid using motorways',252,null,
'Always drive accompanied',252,null,
'Inform the licensing authority',252,null,1
'To allow vehicles to enter and emerge',253,null,1
'To allow the bus to reverse',253,null,
'To allow vehicles to make a U-turn',253,null,
'To allow vehicles to park',253,null,
'Stop on the hard shoulder for a sleep',254,null,
'Open a window and stop as soon as it's safe and legal',254,null,1
'Speed up to arrive at your destination sooner',254,null,
'Slow down and let other drivers overtake',254,null,
'',255,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/255.A.png',
'',255,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/255.B.png',
'',255,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/255.C.png',
'',255,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/255.D.png',1
"'Go around them, leaving plenty of room'",256,null,
'Stop and wave at them to cross',256,null,
'Sound your horn and proceed',256,null,
'Give way to them',256,null,1
'One-way street',257,null,
'Pedestrians ',257,null,1
'Traffic congestion',257,null,
'Parked vehicles',257,null,
'They may be overtaking on your left',258,null,
'They may be following you closely',258,null,
'They may be emerging from the side road',258,null,
'They may be overtaking on your right',258,null,1
'Moped riders can use it',259,null,
'It's controlled by a traffic warden',259,null,
'It's controlled by two flashing lights',259,null,
'Pedestrians and cyclists can use it together',259,null,1
'By pointing to children waiting to cross',260,null,
'By displaying a red light',260,null,
'By displaying a 'stop' sign ',260,null,1
'By giving you an arm signal',260,null,
'In the window of a car taking children to school',261,null,
'At the side of the road',261,null,
'At playground areas',261,null,
'On the rear of a school bus or coach',261,null,1
'No route for pedestrians and cyclists',262,null,
'A route for pedestrians only',262,null,
'A route for cyclists only',262,null,
'A route for pedestrians and cyclists',262,null,1
'They have limited mobility',263,null,
'They're deaf',263,null,
'They're blind',263,null,
'They're deaf and blind',263,null,1
'Wave them across so they know that you've seen them',264,null,
"'Be patient and allow them to cross in their own time
'",264,null,1
'Rev the engine to let them know that you're waiting',264,null,
'Tap the horn in case they're hard of hearing',264,null,
"'Expect them to wait for you to pass
'",265,null,
'Speed up to get past them quickly',265,null,
'Stop and wave them across the road',265,null,
'Be careful; they may misjudge your speed',265,null,1
'Overtake on the right',266,null,
'Give a warning with your horn',266,null,
'Signal the cyclist to move across',266,null,
'Give the cyclist plenty of room',266,null,1
'Lorry ',267,null,
'Tractor',267,null,
'Bicycle',267,null,1
'Road-sweeper',267,null,
'They may want to turn into the side road',268,null,
'They may slow down to let you turn',268,null,
'They're harder to see',268,null,1
'They might not see you turn',268,null,
'Motorcycles are usually faster than cars',269,null,
'Police patrols often use motorcycles',269,null,
'Motorcycles can easily be hidden behind obstructions',269,null,1
'Motorcycles have right of way',269,null,
'So that the rider can be seen more easily',270,null,1
'To stop the battery overcharging',270,null,
'To improve the rider's vision',270,null,
'The rider is inviting you to proceed',270,null,
'They must do so by law',271,null,
'It helps keep them cool in summer',271,null,
'The colors are popular',271,null,
'To make them more visible',271,null,1
'To listen for traffic behind them',272,null,
'Motorcycles don't have mirrors',272,null,
'It helps them balance as they turn',272,null,
'To check for traffic in their blind area ',272,null,1
'Car driver',273,null,
'Tractor driver',273,null,
'Lorry driver',273,null,
'Motorcyclist',273,null,1
'Sound your horn as a warning',274,null,
'Treat them like any other vehicle',274,null,
'Give them plenty of room',274,null,1
'Accelerate past as quickly as possible',274,null,
'Wave them to cross as quickly as they can',275,null,
'Rev your engine to make them hurry',275,null,
'Flash your lights in case they haven't noticed you',275,null,
'Wait patiently while they cross',275,null,1
'Reduce speed until you're clear of the area',276,null,1
'Keep up your speed and sound the horn',276,null,
'Increase your speed to clear the area quickly',276,null,
'Wait at the lights until they stop flashing',276,null,
'To allow children to be dropped off at school',277,null,
'To allow teachers to park',277,null,
'To allow children to be picked up after school',277,null,
'To allow children to see and be seen when they're crossing the road',277,null,1
'Near a school crossing',278,null,
'At a playground entrance',278,null,
'On a school bus',278,null,1
'At a 'pedestrians only' area',278,null,
'Left',279,null,
'Right',279,null,
'Any direction',279,null,1
'Straight ahead',279,null,
'Overtake the moped before the junction',280,null,
'Pull alongside the moped and stay level until just before the junction',280,null,
'Sound your horn as a warning and pull in front of the moped',280,null,
'Stay behind until the moped has passed the junction',280,null,1
'Proceed as normal',281,null,
'Keep close to them',281,null,
'Cut in front of them',281,null,
'Stay well back',281,null,1
'Sound your horn to warn them of your presence',282,null,
'Be patient and prepare for them to react more slowly',282,null,1
'Flash your headlights to indicate that it's safe for them to proceed',282,null,
'Overtake them as soon as possible',282,null,
"'Be patient, as you expect them to make mistakes'",283,null,1
'Stay very close behind and flash your headlights',283,null,
'Start to rev your engine if they take too long to restart',283,null,
'Immediately steer around them and drive on',283,null,
'Motorcycles',284,null,
'Bicycles',284,null,
'Pedestrians',284,null,1
'Horse riders',284,null,
'Overtake the cyclist before you reach the junction',285,null,
'Pull alongside the cyclist and stay level until after the junction',285,null,
'Hold back until the cyclist has passed the junction',285,null,1
'Go around the cyclist on the junction',285,null,
'In any direction',286,null,1
'To the right',286,null,
'To the left',286,null,
'Straight ahead',286,null,
'Flashing red beacon ',287,null,
'Flashing green beacon ',287,null,
'Flashing blue beacon ',287,null,
'Flashing amber beacon ',287,null,1
'The vehicle is slow moving',288,null,1
'The vehicle has broken down',288,null,
'The vehicle is a doctor's car',288,null,
'The vehicle belongs to a school crossing patrol',288,null,
'Contraflow cycle lane',289,null,
'With-flow cycle lane',289,null,1
'Cycles and buses only',289,null,
'No cycles or buses',289,null,
'Pull out to the middle of the road',290,null,
'Slow down and be ready to stop',290,null,1
'Switch on your hazard warning lights',290,null,
'Give a right-turn signal',290,null,
'To ensure children can see and be seen when they're crossing the road',291,null,1
'To enable teachers to have clear access to the school',291,null,
'To ensure delivery vehicles have easy access to the school',291,null,
'To enable parents to pick up or drop off children safely',291,null,
'Watch out for pedestrians walking in the road',292,null,1
'Use your right-hand mirror more often',292,null,
'Speed up to get past the roadworks more quickly',292,null,
'Position close to the left-hand kerb',292,null,
'Follow closely so they can see you in their mirrors',293,null,
'Overtake immediately to avoid delays',293,null,
'Allow extra room in case they swerve to avoid potholes',293,null,1
'Allow the same room as normal to avoid wasting road space',293,null,
'No cycling',294,null,
'Cycle route ahead',294,null,1
'Cycle parking only',294,null,
'End of cycle route',294,null,
'Sound your horn',295,null,
'Overtake them',295,null,
'Assume they're turning left',295,null,
'Allow them space to turn',295,null,1
'Prepare to slow down and stop',296,null,1
'Stop and wave the pedestrians across',296,null,
'Speed up and pass by quickly',296,null,
'Continue unless the pedestrians step out',296,null,
'The pedestrian is an older person',297,null,
'The pedestrian is a dog trainer',297,null,
'The pedestrian is colour-blind',297,null,
'The pedestrian is deaf',297,null,1
'Motorcyclists and cyclists',298,null,
'Motorcyclists and pedestrians',298,null,
'Only cyclists',298,null,
'Cyclists and pedestrians',298,null,1
'To allow taxis to position in front of other traffic',299,null,
'To allow people with disabilities to cross the road',299,null,
'To allow cyclists and pedestrians to cross the road together',299,null,
'To allow cyclists to position in front of other traffic',299,null,1
'The cyclist might speed up',300,null,
'The cyclist might get off their bicycle',300,null,
'The cyclist might be unsettled if you pass too near them',300,null,1
'The cyclist might have to make a left turn',300,null,
'Briefly sound your horn',301,null,
'Go very slowly',301,null,1
'Pass quickly but quietly',301,null,
'Herd them to the side of the road',301,null,
'You're approaching roadworks',302,null,
'You're approaching an organised walk',302,null,1
'You're approaching a slow-moving vehicle',302,null,
'You're approaching a traffic danger spot',302,null,
'By always staying close to the vehicle in front',303,null,
'By never going over 40 mph',303,null,
'By staying in the left-hand lane on all roads',303,null,
'By taking further training',303,null,1
'Look through the rear window only',304,null,
'Get out and check',304,null,1
'Check the mirrors only',304,null,
"'Carry on, assuming it's clear'",304,null,
'Wave to the pedestrian to stop',305,null,
'Give way to the pedestrian',305,null,1
'Sound your horn to warn the pedestrian',305,null,
'Reverse before the pedestrian starts to cross',305,null,
'Motorcyclists',306,null,
'Car drivers',306,null,
'Cyclists',306,null,
'Children',306,null,1
"'Move out quickly, but be prepared to stop'",307,null,
'Sound your horn and pull out if there's no reply',307,null,
"'Stop, then move forward slowly until you have a clear view'",307,null,1
"'Stop, get out and look along the main road to check'",307,null,
'To look for pedestrians about to cross',308,null,
'To check for overtaking vehicles ',308,null,1
'To make sure the side road is clear',308,null,
'To check for emerging traffic ',308,null,
'Signal the pedestrian to cross',309,null,
'Always wait for the green light before proceeding',309,null,
'Give way to any pedestrians on the crossing',309,null,1
'Wait for the red-and-amber light before proceeding',309,null,
'Wait for them to finish crossing',310,null,1
'Drive in front of them',310,null,
'Edge forward slowly',310,null,
'Sound your horn',310,null,
'Continue driving at the same speed and sound your horn',311,null,
'Continue driving at the same speed and flash your headlights',311,null,
'Slow down and be prepared to stop for children',311,null,1
'Stop and wave the children across to fetch their ball',311,null,
'Cancel your right-turn signal',312,null,
'Select first gear',312,null,
'Check for traffic overtaking on your right',312,null,1
'Stop and set the parking brake',312,null,
'Sound the horn and flash your lights',313,null,
'Look for motorcyclists filtering through the traffic',313,null,1
'Give a 'slowing down' arm signal',313,null,
'Change down to first gear',313,null,
'The bus might have broken down',314,null,
'Pedestrians might come from behind the bus',314,null,1
'The bus might move off suddenly',314,null,
'The bus might remain stationary',314,null,
'Drive up close and overtake as soon as possible',315,null,
'Speed isn't important but allow plenty of room',315,null,
'Use your horn just once to warn them',315,null,
'Drive slowly and leave plenty of room',315,null,1
'The rider may turn off suddenly to get out of the wind',316,null,
'The rider may be blown in front of you',316,null,1
'The rider may stop suddenly',316,null,
'The rider may be travelling faster than normal',316,null,
'On dual carriageways',317,null,
'At junctions',317,null,1
'At zebra crossings',317,null,
'On one-way streers',317,null,
'You may park on the lines when dropping off schoolchildren',318,null,
'You may park on the lines when picking up schoolchildren',318,null,
'You shouldn't wait or park your vehicle here',318,null,1
'You must stay with your vehicle if you park here',318,null,
'Accelerate past quickly and sound your horn',319,null,
'Slow down and wave the cyclist across',319,null,
'Brake sharply and flash your headlights',319,null,
'Slow down and be prepared to stop for a cyclist',319,null,1
'Set your mirror to the anti-dazzle position',320,null,1
'Set your mirror to dazzle the other driver',320,null,
'Brake sharply to a stop',320,null,
'Switch your rear lights on and off',320,null,
'Continue on your way',321,null,
'Wave to the person to cross',321,null,
'Wave to the person to wait',321,null,
'Be prepared to stop',321,null,1
'Turn in because the pedestrians are safe on the pavement',322,null,
"'Wave at the pedestrians, inviting them to cross the road'",322,null,
'Wait and give way to the pedestrians',322,null,1
'Sound your horn to alert the pedestrians to your presence',322,null,
'Sound your horn to alert them to your presence',323,null,
'Stay behind and allow them to ride in this position',323,null,1
'Move across to the right and try to ease past them',323,null,
'Get up close behind to encourage them to move aside',323,null,
'At least as much room as you would if you were overtaking a car',324,null,1
'At least a car's width',324,null,
'At least a car's length',324,null,
'At least 2 car widths',324,null,
'Flash your lights to encourage the pedestrian to cross',325,null,
'Carry on turning into the side road',325,null,
'Sound your horn to let the pedestrian know you're there',325,null,
'Wait and give way to the pedestrian',325,null,1
'',326,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/326.A.png',1
'',326,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/326.B.png',
'',326,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/326.C.png',
'',326,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/326.D.png',
'Anything overtaking the lorry will be hidden from view',327,null,1
'The lorry could suddenly speed up',327,null,
'The lorry might be slowing down',327,null,
'The load on the lorry might be unstable',327,null,
'Get closer in order to pass it quickly',328,null,
'Stay well back and give it room',328,null,1
'Assume the signal is wrong and that it's turning right',328,null,
'Overtake it as it starts to slow down',328,null,
'Warn the driver about the wrong signal',329,null,
'Wait behind the long vehicle',329,null,1
'Report the driver to the police',329,null,
'Overtake on the right-hand side',329,null,
'Sound your horn',330,null,
'Overtake on the left',330,null,
'Follow the same course as the lorry',330,null,
'Keep well back',330,null,1
'To give yourself acceleration space if you decide to overtake',331,null,
'To get the best view of the road ahead',331,null,1
'To leave a gap in case the vehicle stops and rolls back',331,null,
'To offer other drivers a safe gap if they want to overtake you',331,null,
'Accelerate past the bus',332,null,
'Look for pedestrians',332,null,1
'Sound your horn',332,null,
'Pull in closely behind the bus',332,null,
'Drop back untill you can see better',333,null,1
'Put your headlights on full beam',333,null,
"'Keep close to the lorry, away from the spray'",333,null,
'Speed up and overtake quickly',333,null,
'Sound your horn',334,null,
'Drop back further',334,null,1
'Flash your headlights',334,null,
'Start to overtake',334,null,
'Get past before it moves',335,null,
"'Allow it to pull away, if it's safe to do so'",335,null,1
'Flash you headlights as you approach',335,null,
'Signal left and wave tho bus on',335,null,
'Follow it closely and keep moving out to see the road ahead',336,null,
'Flash your headlights for the oncoming traffic to give way',336,null,
'Stay behind until the driver waves you past',336,null,
'Keep well back so that you get a good view of the road ahead',336,null,1
'Cyclists',337,null,
'Motorcyclists',337,null,
'High-sided vehicles',337,null,
'Cars',337,null,1
'Slow down and be prepared to wait',338,null,1
'Make the lorry wait for you',338,null,
'flash your lights at the lorry',338,null,
'Move to the right-hand side of the road',338,null,
'ovetake if you can leave plenty of room',339,null,
'Over if there are no oncoming vehicles',339,null,
'Wait for the driver to cancel his signal',339,null,
'Wait for the vehicle to finish turning',339,null,1
'It will take longer to overtake a large vehicle',340,null,1
'A large vehicle will be fitted with a speed limiter',340,null,
'A large vehicle will have air brakes',340,null,
'It will take longer for a large vehicle to accelerate',340,null,
'Overtake the motorcyclist immediately',341,null,
'Keep well back',341,null,1
'Stay level with tho morocysclist',341,null,
'Keep choose to the motorcyclist',341,null,
'Flash your lights to warn the driver of your presence',342,null,
'Continue at the same speed but sound your horn as a warning',342,null,
'Watch carefully for the sudden appearance of pedestrians',342,null,1
'Pass the bus as quickly as you possibly can',342,null,
'Sound your horn and continue',343,null,
'Slow down and give way',343,null,1
'Report the driver to the police',343,null,
'Squeeze through the gap',343,null,
'Because trams don't have a horn',344,null,
'Because trams can't stop for cars',344,null,
'Because trams don't have lights',344,null,
'Because trams can't steer to avoid obstructions',344,null,1
'Interior wide-angle mirror',345,null,
'Extended-arm side mirrors',345,null,1
'Ordinary door mirrors',345,null,
'Ordinary interior mirror',345,null,
'Main-beam headlights',346,null,
'Sidelights only',346,null,
'Rear fog lights if visibility is more than 100 metres (328 feet)',346,null,
'Dipped headlights',346,null,1
'Overtake very slowly',347,null,
'Keep close as you pass',347,null,
'Sound your horn repeatedly',347,null,
'Allow extra room',347,null,1
'When you're in a one-way street',348,null,1
'When approaching a motorway slip road where you'll be turning off',348,null,
'When the vehicle in front is signalling to turn left',348,null,
'When a slower vehicle is travelling in the right-hand lane of a dual carriageway',348,null,
'It will be doubled',349,null,1
'It will be halved',349,null,
'It will be ten times greater',349,null,
'It will be no different',349,null,
'Wait until a bend so that you can see oncoming headlights',350,null,
'Sound your horn twice before moving out',350,null,
'Go past slowly so that you can react to unseen hazards',350,null,
'Beware of bends in the road ahead',350,null,1
'When you're stationary in a queue of traffic',351,null,
'When approaching a pelican crossing',351,null,
'When approaching a zebra crossing',351,null,
'When oncoming traffic prevents you turning right',351,null,1
'',352,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/352.A.png',1
'',352,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/352.B.png',
'',352,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/352.C.png',
'',352,'https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/352.D.png',
'To stop road age',353,null,
'To make overtaking easier',353,null,
'To slow traffic down',353,null,1
'To make parking easier',353,null,
'Green',354,null,
'Amber',354,null,
'Red',354,null,1
'White',354,null,
'Give directions',355,null,
'Prevent cattle escaping',355,null,
'Alert you to low tyre pressure',355,null,
'Alert you to a hazard',355,null,1
'Follow other vehicles' tail lights closely',356,null,
'Avoid using dipped headlights',356,null,
'Leave plenty of time for your journey',356,null,1
'Keep two seconds behind the vehicle ahead',356,null,
'Flash your headlights before overtaking',357,null,
'Select a higher gear',357,null,
'Switch your headlights to main beam before overtaking',357,null,
'Make sure you don't dazzle other road users',357,null,1
'Sound your horn',358,null,
'Overtake as soon as you can',358,null,
'Flash your headlights',358,null,
'Slow down and stay behind',358,null,1
'To show a safe distance between vehicles',359,null,
'To keep the area clear of traffic',359,null,
'To make you aware of your speed',359,null,1
'To warn you to change direction',359,null,
'Reverse back to the main road',360,null,
'Carry out an emergency stop',360,null,
'Stop at a passing place',360,null,1
'Switch on your hazard warning lights',360,null,
'To avoid puncturing the typres on the edge of the drain covers',361,null,
'To prevent the motorcycle sliding on the metal drain covers',361,null,1
'To help judge the bend using the drain covers as marker points',361,null,
'To avoid splashing pedestrians on the pavement',361,null,
'You'll be on a slippery road',362,null,
'Your brakes will be wet',362,null,1
'You''ll be going down a long hill',362,null,
'You'll have just crossed a long bridge',362,null,
'The brakes don't work as well',363,null,
'You'll be dazzled by other headlights',363,null,
'The engine will take longer to warm up',363,null,
'It's more difficult to see what's ahead',363,null,1
'The high gears will pull better',364,null,
'The steering will feel heavier',364,null,
'Overtaking will be easier',364,null,
'The engine will work harder',364,null,1
'Increase your speed',365,null,
'Be wary of a sudden gust',365,null,1
'Drive alongside very closely',365,null,
'Expect normal conditions',365,null,
'In case it changes direction suddenly',366,null,
'In case its fog lights dazzle you',366,null,
'In case it stops suddenly',366,null,1
'In case its brake lights dazzle you',366,null,
'Leave parking lights switched on',367,null,1
'Leave dipped headlights and fog lights switched on',367,null,
'Leave dipped headlights switched on',367,null,
'Leave main-beam headlights switched on',367,null,
'Pull down your sun visor',368,null,
'Slow down or stop',368,null,1
'Flash your main-beam headlights',368,null,
'Shade your eyes with your hand',368,null,
'When visibility is seriously reduced',369,null,1
'When they're fitted above the bumper',369,null,
'When they aren't as bright as the headlights',369,null,
'When an audible warning device is used',369,null,
'Leave them on if other drivers have their lights on',370,null,
'Switch them off as long as visibility remains good',370,null,1
'Flash them to warn oncoming traffic that it's foggy',370,null,
'Drive wth them on instead of your headlights',370,null,
'To allow your headlights to work',371,null,
'To stop draining the battery',371,null,
'To stop the engine losing power',371,null,
'To prevent dazzling drivers behind',371,null,1
'They'll make it safer when towing a trailer',372,null,
'They'll protect you from larger vehicles',372,null,
'They'll dazzle other drivers',372,null,1
'They'll make drivers behind keep back',372,null,
'To help prevent damage to the road surface',373,null,
'To help prevent wear to the tyres',373,null,
'To help prevent skidding in deep snow',373,null,1
'To help prevent the brakes locking',373,null,
'By changing to a lower gear',374,null,1
'Be selecting reverse gear',374,null,
'By changing to a higher gear',374,null,
'By selecting neutral',374,null,
'Fuel spillage will occur',375,null,
'Engine damage may be caused',375,null,
'You'll have less steering and braking control',375,null,1
'It will wear tyres out more quickly',375,null,
'Four times the normal distance',376,null,
'Six times the normal distance',376,null,
'Eight times the normal distance',376,null,
'Ten times the normal distance',376,null,1
'Use only your sidelights',377,null,
'Use your headlights',377,null,1
'Use rear fog lights',377,null,
'Use front fog lights',377,null,
'Front fog lights',378,null,
'Main-beam headlights',378,null,
'Sidelights only',378,null,
'Dipped headlights',378,null,1
'The speed limit',379,null,
'The street lighting',379,null,
'The time of day',379,null,
'The condition of the tyres',379,null,1
'When you only use the parking brake',380,null,
'When you're in neutral',380,null,
'When you change to a lower gear',380,null,1
'When you change to a higher gear',380,null,
'Headlights and fog lights',381,null,
'Front fog lights',381,null,
'Dipped headlights',381,null,1
'Rear fog lights',381,null,
'To make them more visible when driving at high speed',382,null,
'To show when they've broken down in a dangerous position',382,null,
'To make them more visible in thick fog',382,null,1
'To warn drivers following closely to drop back',382,null,
'Whether you should fit an amber flashing beacon to your car',383,null,
'Whether you should drive without wearing your seat belt',383,null,
'Whether you should wear sunglasses to reduce the glare',383,null,
'Whether your journey is essential',383,null,1
'The radiator has enough anti-freeze',384,null,
'You have a warning triangle in the vehicle',384,null,
'The windows and lights are clean and clear',384,null,1
'You have a mobile phone with you',384,null,
'Switch off your fog lights',385,null,1
'Keep your rear fog lights switched on',385,null,
'Keep your front fog lights switched on',385,null,
'Leave your fog lights switched on in case the fog returns',385,null,
'They may be confused with brake lights',386,null,1
'The bulbs would fail',386,null,
'Electrical systems could be overloaded',386,null,
'Direction indicators may not work properly',386,null,
'It will use more fuel',387,null,
'It wll cause the engine to overheat',387,null,
'It will reduce your control',387,null,1
'It will improve tyre wear',387,null,
'The fuel consumption will increase',388,null,
'The engine will overheat',388,null,
'The tyres will wear more quickly',388,null,
'The vehicle will gain speed more quickly',388,null,1
'Switch on your hazard warning lights',389,null,
'Use a low gear and drive slowly',389,null,1
